station_id,zip_code,LocationID,Zone
6064.08,10011,68.0,East Chelsea
6122.09,10016,170.0,Murray Hill
4446.01,11201,,
3344.02,11238,,
6131.12,10010,107.0,Gramercy
4677.01,11201,,
7161.08,10023,239.0,Upper West Side South
6786.02,10036,50.0,Clinton West
4470.09,11217,,
5065.14,10038,,
5938.01,10003,79.0,East Village
4413.08,11201,,
4659.02,11205,,
5820.08,10003,79.0,East Village
7039.03,11105,,
4637.06,11201,,
6991.12,10021,,
6809.07,10019,163.0,Midtown North
4339.01,11231,,
5453.06,10012,211.0,SoHo
5593.04,10003,79.0,East Village
3865.05,11238,,
4528.01,11205,,
6682.03,10022,229.0,Sutton Place/Turtle Bay North
7113.08,10128,263.0,Yorkville West
5752.07,11222,,
6602.03,10018,100.0,Garment District
5167.06,10038,,
7100.07,10023,239.0,Upper West Side South
5351.07,10013,45.0,Chinatown
7052.01,10023,239.0,Upper West Side South
3480.04,11226,,
4225.14,11231,,
5593.01,10003,79.0,East Village
8336.02,10033,243.0,Washington Heights North
6289.06,10001,186.0,Penn Station/Madison Sq West
4410.02,11238,,
4419.03,11238,,
5905.14,10003,79.0,East Village
5484.09,10002,148.0,Lower East Side
5359.12,10013,45.0,Chinatown
4231.04,11238,,
5569.07,10013,45.0,Chinatown
6215.04,10010,107.0,Gramercy
3905.15,11215,,
4628.07,11201,,
5989.02,10011,68.0,East Chelsea
6416.06,10001,186.0,Penn Station/Madison Sq West
6756.05,10036,50.0,Clinton West
8013.07,10031,152.0,Manhattanville
4193.14,11231,,
4122.03,11213,,
5721.07,10012,211.0,SoHo
4968.03,11201,,
5308.04,11211,,
8381.04,10033,243.0,Washington Heights North
7823.03,10027,166.0,Morningside Heights
4386.05,11238,,
5929.07,10010,107.0,Gramercy
6182.02,10011,68.0,East Chelsea
5411.08,11211,,
4531.05,11201,,
5445.07,10002,148.0,Lower East Side
4748.07,11201,,
6364.10,10001,186.0,Penn Station/Madison Sq West
5947.04,10011,68.0,East Chelsea
5076.04,11206,,
4683.02,11205,,
5788.16,10003,79.0,East Village
8157.06,10032,244.0,Washington Heights South
4354.07,11217,,
4307.13,11231,,
7648.16,10035,,
5553.03,10003,79.0,East Village
7235.13,10128,263.0,Yorkville West
7020.02,10075,262.0,Yorkville East
5523.02,10002,148.0,Lower East Side
7821.01,10451,,
5779.11,10009,4.0,Alphabet City
8579.05,10034,127.0,Inwood
5581.01,11222,,
5545.01,10009,4.0,Alphabet City
